Pathway	SRR18584972	SRR18584974	SRR18584975	SRR18584976	SRR18584977	SRR18584978	SRR18584979	SRR18584980	SRR18584981	SRR18584982	SRR18584983	SRR18585056	SRR18585057	SRR18585058	SRR18585059	SRR18585061	SRR18585062	SRR18585063	SRR18585064	SRR18585065	SRR18585076	SRR18585077	SRR18585078	SRR18585079	SRR18585104	SRR18585105	SRR18585106	SRR18585107	SRR18585109	SRR18585110	SRR18585111	SRR18585112	SRR18585113	SRR18585114	SRR18585115	SRR18585128	SRR18585129	SRR18585131	SRR18585132	SRR18585133	SRR18585134	SRR18585135	SRR18585136	SRR18585137	SRR18585138	SRR18585139	SRR18585140	SRR18585142	SRR18585143	SRR18585144	SRR18585177	SRR18585178	SRR18585179	SRR18585180	SRR18585181	SRR18585182	SRR18585183	SRR18585184	SRR18585212	SRR18585213	SRR18585214	SRR18585215	SRR18585216	SRR18585218	SRR18585219	SRR18585220	SRR18585221	SRR18585222	SRR18585223	SRR18585254	SRR18585256	SRR18585257	SRR18585258	SRR18585259	SRR18585260	SRR18585261	SRR18585272	SRR18585273
1CMET2-PWY: folate transformations III (E. coli)	410.623	441.138	405.021	487.994	310.242	312.463	590.79	323.111	357.535	364.43	344.376	475.968	579.006	646.085	629.935	634.802	563.751	0	546.774	541.848	213.245	256.524	426.3	355.667	444.019	396.041	378.89	513.979	475.577	253.279	308.601	82.466	404.391	321.103	367.241	555.705	449.963	368.485	422.461	479.294	455.976	393.705	412.76	260.068	474.566	379.365	386.297	464.875	400.136	370.482	462.578	258.323	295.167	243.75	420.367	339.289	250.505	397.54	316.278	288.588	409.481	421.704	540.43	680.576	326.867	611.991	626.171	295.268	433.904	340.636	404.448	431.308	462.061	383.819	398.512	357.762	432.171	407.85
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1884	110.918	0	0	0	27.0145	0	0	0	0.303638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.599079	102.642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.5302	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.498252	0	0	0	0	0	0	24.0258	0	0	0	1.98783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	179.765	167.353	180.901	181.177	417.455	425.952	226.31	274.456	412.134	208.237	316.041	163.379	197.144	113.496	105.766	42.6623	254.878	0	264.71	210.585	391.791	411.829	156.744	280.557	173.604	394.515	428.236	75.0487	202.241	308.393	480.081	64.23	44.8434	227.048	229.346	124.623	226.012	332.942	453.328	240.952	354.004	289.801	239.99	400.419	450.184	280.377	182	243.755	185.849	132.785	301.262	225.173	167.92	197.598	309.623	270.751	174.651	164.902	341.46	374.903	126.007	129.472	198.099	37.1142	226.103	57.4393	160.604	230.937	256.933	50.7906	160.476	188.278	258.787	105.982	127.176	91.0817	204.34	174.297
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	563.896	609.95	587.233	531.732	603.863	610.396	708.225	476.633	539.856	413.562	507.974	584.922	526.291	483.902	554.361	397.023	510.527	81.3339	751.691	699.35	627.035	608.177	634.146	494.701	528.81	605.514	615.693	701.206	419.729	411.695	606.053	464.789	145.934	460.808	479.69	822.947	589.127	556.273	660.165	657.989	776.474	580.377	489.259	773.595	660.255	500.24	393.439	715.082	561.123	576.944	486.663	399.533	436.411	350.503	567.935	468.408	311.187	429.823	446.689	586.39	634.626	569.242	710.176	1052.61	347.583	306.65	401.887	578.364	655.157	455.718	436.715	497.113	553.763	467.824	476.095	449.544	568.694	607.755
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	52.4796	53.1433	48.9174	39.2219	25.5977	18.1597	71.8901	21.1997	0	10.767	14.9741	53.6058	29.0723	12.8491	19.9401	27.9391	37.4339	0	47.6347	39.6748	89.479	52.849	11.1607	5.38784	82.0172	65.1607	40.5354	125.823	26.0944	301.372	13.7973	0	32.9894	142.143	171.187	16.829	0	245.297	0	0	23.0345	0	19.5286	5.51763	14.8082	7.91387	14.9599	25.332	0	20.7466	12.6215	15.9856	0	14.7878	8.06955	4.37035	9.25668	31.7431	0	40.2816	36.4408	51.628	81.2426	66.1904	230.849	0	0	0	0	9.24167	41.965	45.2642	37.5586	49.1964	67.8082	39.0441	44.6711	41.3095
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157.316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.7219	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	90.3458	118.141	149.909	326.962	0	0	59.6407	0	0	184.332	0	247.057	530.39	580.346	744.577	612.5	524.985	0	48.8957	192.68	0	0	49.8824	250.435	5.15153	34.9334	58.7531	0	400.725	198.965	0	0	273.783	43.5655	35.8969	2.41935	24.1955	203.736	373.895	0	0	129.447	248.689	4.51235	0	274.527	237.91	2.94452	0	128.47	134.95	1.12152	0	0	0	1.23642	23.2369	205.686	0	18.0032	44.9803	208.775	51.9741	160.755	307.352	586.049	560.224	168.633	0	2.08726	4.71143	4.61679	0	11.3547	6.80885	9.69593	174.366	94.4145
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	628.845	631.494	645.824	475.591	248.315	266.633	674.198	514.01	649.338	395.456	594.482	591.131	143.478	85.1274	334.688	169.446	299.692	1118.2	710.115	562.993	247.423	306.44	670.339	364.44	627.881	293.95	412.662	692.812	187.215	346.164	639.859	562.744	120.43	418.857	546.064	657.112	569.591	508.389	434.242	644.764	696.624	382.859	217.07	790.091	606.548	351.645	296.618	627.569	508.359	426.914	422.978	437.467	476.006	396.153	639.978	551.406	332.236	460.39	289.035	213.158	793.18	598.936	662.19	654.847	313.963	181.598	152.564	0	647.561	194.903	496.934	521.976	653.046	451.87	545.097	404.545	538.402	640.565
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	642.84	646.058	656.276	464.399	127.992	121.608	677.936	526.639	693.755	399.86	618.697	598.27	132.169	73.9743	321.763	172.526	273.936	1248.29	727.516	570.555	218.946	174.677	683.158	362.957	626.91	267.77	437.327	722.733	164.426	331.259	675.115	1061.96	134.09	453.771	590.238	703.731	609.561	537.606	441.365	697.083	760.988	413.881	211.899	833.267	633.97	347.912	286.072	662.159	540.33	452.256	417.94	450.718	517.925	420.914	670.29	596.905	344.292	463.252	296.826	211.126	812.437	602.978	688.271	672.537	299.983	176.809	144.997	77.3047	647.976	170.04	477.397	514.488	658.246	439.193	523.513	383.274	536.141	659.705
ARO-PWY: chorismate biosynthesis I	667.663	661.273	668.623	563.662	686.515	730.572	778.292	474.573	673.756	456.731	547.153	641.299	505.053	538.245	562.799	541.206	556.86	1171.94	784.739	627.547	540.217	643.45	697.422	479.254	659.972	636.144	636.199	782.077	459.624	310.932	699.344	1027.27	376.281	451.793	572.035	741.434	639.783	526.191	569.467	685.398	794.91	500.474	431.469	780.625	655.18	478.862	428.341	696.775	621.408	501.991	504.32	424.562	465.752	385.1	588.267	495.102	333.399	514.074	433.56	539.74	768.983	662.487	665.388	842.305	317.359	532.881	543.691	496.596	575.096	469.293	561.073	568.123	679.672	523.221	621.429	492.893	607.282	672.496
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	221.514	207.453	172.504	308.763	348.01	390.341	199.45	125.251	178.771	258.037	167.348	308.411	609.231	701.628	871.851	773.284	612.439	0	285.79	332.436	317.41	327.99	197.591	242.945	212.097	385.032	412.898	300.423	422.275	425.11	440.613	95.7211	360.968	194.667	180.348	259.961	210.298	304.863	418.563	250.113	264.344	197.06	245.158	324.696	222.965	292.79	298.673	217.712	173.763	247.178	282.311	107.123	154.747	143.216	172.081	146.956	124.105	256.566	315.365	433.505	193.983	290.323	223.686	269.303	395.672	655.511	641.624	329.083	207.886	496.499	248.472	205.244	158.572	311.695	253.471	304.66	242.307	181.421
AST-PWY: L-arginine degradation II (AST pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.235	0	0	2.06563	23.4353	16.2469	0	0	63.6446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.0022	0	0	0	0	0	0	0	0	0	0	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	79.9519	60.1342	38.8998	125.569	0	0	32.9213	70.2759	56.8166	81.4989	56.253	166.03	413.735	413.821	503.015	430.147	454.627	0	56.716	150.599	80.6537	125.462	16.1313	30.1671	4.15745	194.672	202.21	7.40506	227.122	255.333	4.62418	0	133.85	101.679	107.405	34.1843	35.361	223.58	24.0064	38.6375	12.8074	0	58.7931	16.7164	12.4708	42.5822	3.33987	17.0737	43.3769	0	116.188	44.1227	40.7048	28.6256	61.6065	58.4314	72.6095	128.729	135.179	112.696	44.828	163.131	58.8939	115.52	299.36	366.265	327.866	102.418	0	0	5.7617	21.0984	27.8188	3.25301	1.44084	4.7852	90.5597	67.6583
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	580.921	585.549	522.791	507.164	609.738	637.112	783.734	536.103	700.401	488.759	622.582	564.93	350.654	257.945	403.698	273.109	496.453	0	712.84	675.858	543.16	594.193	564.255	422.301	595.096	585.105	579.041	719.176	367.977	486.336	737.873	167.556	272.481	479.377	504.73	728.486	583.025	621.264	616.462	600.209	784.63	539.376	465.536	968.328	715.765	455.29	379.607	748.602	560.7	484.033	584.065	428.615	515.312	365.6	683.975	601.536	360.609	530.377	470.704	541.57	705.687	527.819	819.92	791.104	367.599	94.1958	187.992	129.903	658.492	778.472	517.217	522.518	580.615	585.986	598.312	627.788	544.352	552.977
