Pathway	O1_E_1cm	O1_E_5cm	O1_K_1	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O1_S_1	O1_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O1_Tg_F_Th	O2_E_1cm	O2_E_5cm	O2_K_1	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	O2_S_1	O2_S_3	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	O2_Tg_TR	Y1_E_1cm	Y1_E_5cm	Y1_K_1	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y1_S_1	Y1_S_3	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y1_Th_TG_f	Y2_E_1cm	Y2_E_5cm	Y2_K_1	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm	Y2_S_1	Y2_S_3	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm	Y2_Tg_TR
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.289065	0.336203	0	0.509417	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	0	0	110.796	380.563	365.935	380.276	388.918	387.553	402.042	408.234	255.303	0	196.712	142.301	255.485	242.624	236.208	389.376	133.284	0	108.445	352.7	365.358	335.539	348.905	331.842	261.218	259.352	278.783	209.293	127.329	179.904	146.905	275.145	114.762	169.861	162.006	174.166	208.781	416.302	199.39	196.773	199.64	189.856	268.326	404.733	0	349.918	0	0	0	50.9989	0	147.422	304.426	262.84	331.219	286.088	237.43	283.948	288.675	219.431	217.345	197.851	251.096	245.803	160.752	243.027	233.947	158.877
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14152	0.662458	0.77672	1.18738	1.43626	1.10818	2.18096	0	0.408883	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	0	1.17397	0.777223	0.758654	1.01068	0.508865	0.407047	1.28703	2.45364	0	0	0	0	0	0	0	0	0	0	0	0.884099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.592855	0.53649	0	0.726474	1.08215	0.779297	1.34175	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	0	0	0	189.866	195.058	217.77	171.111	147.266	142.188	130.257	344.627	96.5139	106.653	188.546	142.231	156.389	146.945	336.887	77.6317	85.1002	53.9952	133.216	172.877	107.04	104.389	111.926	115.07	115.465	294.717	237.631	216.859	199.514	121.984	322.985	147.129	194.702	0	161.377	176.969	165.163	175.605	160.347	179.961	147.241	307.442	437.024	0	121.883	0	0	87.5347	136.026	0	0	126.812	115.565	112.698	145.954	125.144	132.114	142.194	408.965	421.224	297.259	357.234	318.994	53.7204	102.095	385.147	213.918
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0	0	160.434	510.622	551.347	422.927	540.15	555.765	517.202	541.691	505.586	243.866	324.004	261.419	326.248	363.791	330.259	529.699	177.333	153.081	94.1095	367.718	421.725	280.72	363.742	296.707	221.131	209.904	476.453	390.304	373.236	298.587	228.941	480.191	237.516	303.354	159.16	350.393	370.966	490.678	358.88	357.374	359.092	352.708	457.893	641.227	0	455.901	0	0	125.037	178.518	0	101.84	322.867	309.658	368.626	336.98	312.68	314.13	346.737	590.96	632.61	415.484	477.7	513.951	279.557	322.72	555.878	274.158
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0	0	0	32.7635	26.4393	27.5258	36.4438	27.0053	28.7672	31.0812	5.89424	0	0	0	0	0	0	28.1665	0	0	0	43.3408	45.4379	47.5468	45.6346	42.2138	43.6593	34.7528	0	16.4971	0	21.8698	0	64.4436	0	72.5448	0	9.89302	11.6427	26.0604	12.2574	10.5631	16.4953	10.8685	74.6707	33.7087	0	29.6833	0	0	0	0	0	0	41.6498	42.0506	42.9876	53.7033	51.3285	45.6159	52.6554	42.5705	22.0587	0	50.9514	0	0	0	44.6295	0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	0	0	0	0	0	0	0	0	0	0.120164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93775	1.4286	2.34692	4.15236	2.01727	2.25867	1.79539	0	1.95885	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0	0	0	2.48725	1.43502	3.8167	2.7237	1.72661	4.17801	2.6818	30.1417	45.8117	0	17.9303	0	0	12.17	37.2735	109.205	0	0	1.71055	1.20361	3.24854	1.59273	1.15645	0.615778	0.778021	18.0324	41.932	0	26.6125	0	33.3639	0	32.76	172.557	2.18627	0	2.00119	1.34304	0	0	0	23.4018	6.57944	0	0	0	0	0	0	0	0	3.33846	2.47346	0.680476	2.76798	2.08257	1.89766	3.13029	9.22981	10.6178	0	0	0	0	0	0	15.3875
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0	0	0	453.436	504.615	484.919	468.361	475.559	416.281	437.511	203.688	0	276.782	155.573	328.886	316.431	294.368	168.427	168.755	82.7915	119.612	317.722	404.559	296.512	295.44	278.606	273.34	293.935	226.568	156.969	181.948	182.167	81.9626	143.678	90.0519	148.662	174.392	527.516	446.671	506.211	435.973	463.368	455.057	449.028	202.184	223.368	0	365.543	0	0	0	91.3109	0	0	334.686	327.831	310.904	350.798	315.225	323.825	339.635	276.787	292.185	182.742	204.119	194.965	216.587	260.632	261.446	115.346
